valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.474,2016,0.00434,['Burners Girl'],0.711,195316,0.672,0,1TetgqfJgxiP804Rua2p5a,0.00935,3,0.0745,-5.189,1,This Girl,0,2016-12-15,0.0292,121.994
0.6920000000000001,2020,0.262,['Anotherworld el Bey'],0.654,212271,0.716,1,1bY5uwVuL3gYcmL7UXB5Yn,0.0,6,0.7859999999999999,-5.955,0,No Loyalty,0,2020-09-06,0.415,114.295
0.207,2017,6.55e-05,['Dirty Force'],0.733,360068,0.5579999999999999,0,1hMwBY7YjCCqLX1BMyMAZc,0.858,1,0.109,-12.884,1,Let Me Fly Away,0,2017-10-29,0.0582,128.0
0.772,2016,0.000113,['Rocky Dog'],0.6559999999999999,300000,0.7859999999999999,0,1idOtxJCM7IUV30XVrAtlW,0.00117,3,0.687,-6.665,0,Into The Night,0,2016-12-23,0.0347,128.019
0.189,2017,0.000183,['Grum'],0.574,213333,0.946,0,1mGLKrZeFBwts4Fxi3P6u7,0.684,7,0.0841,-5.303,1,Shout,2,2017-12-01,0.0382,125.984
0.217,2017,0.00114,"['Grum', 'Josep']",0.52,332815,0.948,0,1nV0tb7lPXatAg8WeegwTh,0.263,0,0.204,-4.782,1,The Love You Feel,1,2017-12-01,0.047,127.005
0.401,2016,0.00109,['Tabish Green'],0.1639999999999999,191250,0.97,0,1rg809nNAe3SB8U7XlA5lq,0.362,7,0.351,-4.427,1,Propy,0,2016-12-30,0.115,191.552
0.217,2017,0.000215,['Konstantin Yoodza'],0.7979999999999999,390060,0.5670000000000001,0,2AsK98ymVNezu0o7jMCLCQ,0.9,2,0.075,-8.617,1,What s New,0,2017-07-21,0.0723,127.989
0.0401,2017,0.000259,"['Dani Row', 'Jarvin Navarrete']",0.8009999999999999,313627,0.772,0,2BIR6fSrNW1XsWCuxVyu2N,0.8240000000000001,7,0.133,-7.146,1,Countdown,10,2017-07-18,0.0552,128.002
0.383,2017,0.000176,['Alex Denada'],0.799,226000,0.862,0,2HgZlqpCq9adUL4DqKtF0L,0.895,1,0.093,-7.811,1,Adrenadine - Mario Beck Planet Mix,0,2017-01-20,0.0657,127.987
0.337,2017,3.54e-05,['Tunghook'],0.36,321173,0.967,0,2J5KgiAbYs1OqrRvC7SL87,0.0487,11,0.438,-2.924,0,When Will I Learn (Live),0,2017-05-19,0.222,98.366
0.251,2017,0.000913,"['Leonard Van Helden', 'Minimal Beats']",0.539,408793,0.593,0,2Uv8iflzBa1ZcwU5jeCHRM,0.527,7,0.078,-14.307,1,Bona Musica,0,2017-10-29,0.181,127.999
0.532,2016,0.0247,['Dainpeace'],0.848,198265,0.705,0,33XbHTsuiAQi0XInxTOaaZ,0.000216,11,0.0997,-4.648,0,I Like My Beat,0,2016-12-23,0.206,98.013
